"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"No","Tertiary - Bachelor's Degree","Urban","Savannah","Both sexes",4,85,482,805,636
"No","Tertiary - Bachelor's Degree","Urban","Savannah","Male",3,48,294,595,493
"No","Tertiary - Bachelor's Degree","Urban","Savannah","Female",1,37,188,210,143
"No","Tertiary - Bachelor's Degree","Urban","Central Gonja","Both sexes",0,16,65,115,77
"No","Tertiary - Bachelor's Degree","Urban","Central Gonja","Male",0,7,41,95,66
"No","Tertiary - Bachelor's Degree","Urban","Central Gonja","Female",0,9,24,20,11
"No","Tertiary - Bachelor's Degree","Urban","Upper East","Both sexes",12,196,1099,2115,1828
"No","Tertiary - Bachelor's Degree","Urban","Upper East","Male",9,103,662,1280,1191
"No","Tertiary - Bachelor's Degree","Urban","Upper East","Female",3,93,437,835,637
"No","Tertiary - Bachelor's Degree","Urban","Upper West","Both sexes",7,169,1031,1806,1558
"No","Tertiary - Bachelor's Degree","Urban","Upper West","Male",2,103,613,1108,990
"No","Tertiary - Bachelor's Degree","Urban","Upper West","Female",5,66,418,698,568
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Western","Both sexes",0,191,2068,1883,1069
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Western","Male",0,61,644,772,533
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Western","Female",0,130,1424,1111,536
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Wassa Amenfi Central","Both sexes",0,7,96,74,33
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Wassa Amenfi Central","Male",0,2,46,52,24
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Wassa Amenfi Central","Female",0,5,50,22,9
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central","Both sexes",0,241,2455,2560,1365
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central","Male",0,91,809,999,697
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central","Female",0,150,1646,1561,668
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Gomoa Central","Both sexes",0,2,78,85,34
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Gomoa Central","Male",0,0,24,33,17
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Gomoa Central","Female",0,2,54,52,17
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Greater Accra","Both sexes",0,718,5541,6233,4604
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Greater Accra","Male",0,228,1802,2329,2065
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Greater Accra","Female",0,490,3739,3904,2539
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ga Central Municipal","Both sexes",0,52,416,445,331
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ga Central Municipal","Male",0,10,114,156,145
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ga Central Municipal","Female",0,42,302,289,186
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ablekuma Central Municipal","Both sexes",0,22,216,199,139
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ablekuma Central Municipal","Male",0,4,71,71,69
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ablekuma Central Municipal","Female",0,18,145,128,70
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ayawaso Central Municipal","Both sexes",0,13,88,103,96
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ayawaso Central Municipal","Male",0,5,36,32,47
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ayawaso Central Municipal","Female",0,8,52,71,49
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","TMA-Tema Central","Both sexes",0,3,53,78,80
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","TMA-Tema Central","Male",0,0,16,23,33
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","TMA-Tema Central","Female",0,3,37,55,47
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Volta","Both sexes",0,172,1892,1860,1031
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Volta","Male",0,48,631,769,522
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Volta","Female",0,124,1261,1091,509
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central Tongu","Both sexes",0,7,69,74,36
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central Tongu","Male",0,1,21,41,21
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central Tongu","Female",0,6,48,33,15
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Eastern","Both sexes",0,310,3194,2808,1539
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Eastern","Male",0,94,965,1045,735
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Eastern","Female",0,216,2229,1763,804
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Birim Central Municipal","Both sexes",0,15,129,100,45
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Birim Central Municipal","Male",0,4,35,38,15
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Birim Central Municipal","Female",0,11,94,62,30
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper West Akim","Both sexes",0,6,76,41,20
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper West Akim","Male",0,1,31,19,12
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper West Akim","Female",0,5,45,22,8
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ashanti","Both sexes",0,820,6687,6086,3219
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ashanti","Male",0,233,2129,2300,1493
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ashanti","Female",0,587,4558,3786,1726
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Amansie Central","Both sexes",0,3,69,74,37
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Amansie Central","Male",0,1,26,39,22
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Amansie Central","Female",0,2,43,35,15
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Asante Akim Central Municipal","Both sexes",0,9,86,68,45
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Asante Akim Central Municipal","Male",0,4,26,28,23
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Asante Akim Central Municipal","Female",0,5,60,40,22
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano South West","Both sexes",0,6,59,45,16
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano South West","Male",0,5,33,32,14
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano South West","Female",0,1,26,13,2
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano North Municipal","Both sexes",0,11,82,76,40
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano North Municipal","Male",0,2,36,40,30
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano North Municipal","Female",0,9,46,36,10
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano South East","Both sexes",0,4,74,61,26
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano South East","Male",0,0,24,37,17
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo Ano South East","Female",0,4,50,24,9
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Sekyere Central","Both sexes",0,7,71,65,33
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Sekyere Central","Male",0,3,28,26,18
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Sekyere Central","Female",0,4,43,39,15
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Western North","Both sexes",0,97,1219,976,453
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Western North","Male",0,34,504,506,274
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Western North","Female",0,63,715,470,179
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo","Both sexes",0,99,1070,707,357
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo","Male",0,26,379,300,212
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Ahafo","Female",0,73,691,407,145
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Bono","Both sexes",0,188,1757,1669,833
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Bono","Male",0,64,633,747,471
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Bono","Female",0,124,1124,922,362
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Dormaa Central Municipal","Both sexes",0,12,155,171,81
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Dormaa Central Municipal","Male",0,2,52,77,48
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Dormaa Central Municipal","Female",0,10,103,94,33
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Bono East","Both sexes",0,163,1619,1460,700
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Bono East","Male",0,60,722,791,425
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Bono East","Female",0,103,897,669,275
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Oti","Both sexes",0,50,735,691,304
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Oti","Male",0,24,318,372,211
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Oti","Female",0,26,417,319,93
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Northern","Both sexes",0,297,2938,2630,1555
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Northern","Male",0,140,1424,1467,937
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Northern","Female",0,157,1514,1163,618
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","TMA-Tamale Central","Both sexes",0,47,276,304,169
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","TMA-Tamale Central","Male",0,17,104,128,79
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","TMA-Tamale Central","Female",0,30,172,176,90
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Savannah","Both sexes",0,47,617,545,289
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Savannah","Male",0,23,288,327,186
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Savannah","Female",0,24,329,218,103
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central Gonja","Both sexes",0,4,93,78,35
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central Gonja","Male",0,0,42,50,24
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Central Gonja","Female",0,4,51,28,11
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper East","Both sexes",0,176,1926,1918,941
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper East","Male",0,79,842,1024,547
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper East","Female",0,97,1084,894,394
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper West","Both sexes",0,168,1740,1590,791
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper West","Male",0,67,782,856,435
"No","Tertiary - Post graduate Certificate/Diploma","All Locality Types","Upper West","Female",0,101,958,734,356
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Western","Both sexes",0,65,799,636,367
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Western","Male",0,27,323,345,233
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Western","Female",0,38,476,291,134
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Wassa Amenfi Central","Both sexes",0,7,60,52,19
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Wassa Amenfi Central","Male",0,2,25,38,16
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Wassa Amenfi Central","Female",0,5,35,14,3
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Central","Both sexes",0,47,767,842,401
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Central","Male",0,15,289,398,246
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Central","Female",0,32,478,444,155
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Gomoa Central","Both sexes",0,2,59,63,19
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Gomoa Central","Male",0,0,19,26,9
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Gomoa Central","Female",0,2,40,37,10
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Greater Accra","Both sexes",0,36,334,410,255
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Greater Accra","Male",0,17,116,155,130
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Greater Accra","Female",0,19,218,255,125
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ga Central Municipal","Both sexes",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ga Central Municipal","Male",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ga Central Municipal","Female",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ablekuma Central Municipal","Male",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ablekuma Central Municipal","Female",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ayawaso Central Municipal","Male",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ayawaso Central Municipal","Female",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","TMA-Tema Central","Both sexes",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","TMA-Tema Central","Male",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","TMA-Tema Central","Female",0,0,0,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Volta","Both sexes",0,58,789,794,421
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Volta","Male",0,12,297,363,245
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Volta","Female",0,46,492,431,176
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Central Tongu","Both sexes",0,7,54,55,29
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Central Tongu","Male",0,1,18,35,18
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Central Tongu","Female",0,6,36,20,11
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Eastern","Both sexes",0,90,1048,921,499
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Eastern","Male",0,30,358,417,262
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Eastern","Female",0,60,690,504,237
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Birim Central Municipal","Both sexes",0,0,5,3,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Birim Central Municipal","Male",0,0,2,3,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Birim Central Municipal","Female",0,0,3,0,0
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Upper West Akim","Both sexes",0,2,33,17,6
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Upper West Akim","Male",0,0,12,8,2
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Upper West Akim","Female",0,2,21,9,4
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ashanti","Both sexes",0,169,1787,1656,811
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ashanti","Male",0,54,676,775,462
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Ashanti","Female",0,115,1111,881,349
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Amansie Central","Both sexes",0,1,55,60,23
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Amansie Central","Male",0,1,22,31,14
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Amansie Central","Female",0,0,33,29,9
"No","Tertiary - Post graduate Certificate/Diploma","Rural","Asante Akim Central Municipal","Both sexes",0,1,28,21,11
